Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,FacilityAge,FacilityCondition,FacilityUpgradeAge,LGA
YARRAC11015,CrossFit Richmond,116,Murphy,Street,Richmond,3121.0,-37.818162,145.00958,17822,Gym / Fitness,,,,Yarra
YARRAC11003,CrossFit Victoria,62,Rose,Street,Fitzroy,3065.0,-37.79594,144.97753,17803,Gym / Fitness,,,,Yarra
YARRAC11037,CrossFit Victoria,2/62,Rose,Street,Fitzroy,3065.0,-37.795964,144.977608,17853,Gym / Fitness,,,,Yarra
YARRAC11050,Curves North Fitzroy,278,St. Georges,Road,Fitzroy North,3068.0,-37.782090000000004,144.985022,17866,Gym / Fitness,,,,Yarra
YARRAC11035,Fernwood - Carlton,193-197,Nicholson,Street,Carlton,3053.0,-37.795584000000005,144.974952,17851,Gym / Fitness,,,,Melbourne
YARRAC10975,Fernwood Carlton,197,Nicholson,Street,Carlton,3053.0,-37.795621000000004,144.975108,17763,Gym / Fitness,,,,Melbourne
YARRAC11046,Fitness 24 Hours,133,Johnston,Street,Fitzroy,3065.0,-37.79809,144.97921499999998,17862,Gym / Fitness,,,,Yarra
YARRAC11016,Fitness First,560,Church,Street,Richmond,3121.0,-37.829370000000004,144.9964,17823,Gym / Fitness,,,,Yarra
YARRAC11059,Fitness Live,4,Stephenson,Street,Richmond,3121.0,-37.820335,145.00245800000002,17875,Gym / Fitness,,,,Yarra
YARRAC11066,Fitness Ring Studio,488,Victoria,Street,Richmond,3121.0,-37.809937,144.994548,17882,Gym / Fitness,,,,Yarra
YARRAC11051,fitness Xplosion,,St. Georges,Road,Fitzroy North,3068.0,-37.791351,144.976277,17867,Gym / Fitness,,,,Yarra
YARRAC10992,Fitnessland Gym,212,Grange,Road,Fairfield,3078.0,-37.779009,145.02510900000001,17788,Gym / Fitness,,,,Darebin
YARRAC11017,FITROCk,358,Swan,Street,Richmond,3121.0,-37.824628999999995,144.988844,17824,Gym / Fitness,,,,Yarra
YARRAC11038,Fitzroy Pilates Studios,175,Brunswick,Street,Fitzroy,3065.0,-37.802202,144.977592,17854,Gym / Fitness,,,,Yarra
YARRAC10998,Fitzroy Swimming Pool,,Alexandra,Parade,Fitzroy,3065.0,-37.7939,144.9809,17797,Gym / Fitness,26 - 50 Years,3. Average,6 - 10 Years,Yarra
YARRAC11012,Genesis Richmond,576,Swan,Street,Richmond,3121.0,-37.82723,145.019798,17816,Gym / Fitness,,,,Yarra
YARRAC11039,Goodlife Health Club,41,Johnson,Street,Fitzroy,3065.0,-37.973309,145.119814,17855,Gym / Fitness,,,,Kingston
YARRAC11052,Healthy Fit,191,St. Georges,Road,Fitzroy North,3068.0,-37.784533,144.982525,17868,Gym / Fitness,,,,Yarra
YARRAC11004,Healthy Fit,191,St Georges,Road,Fitzroy,3065.0,-37.784533,144.982525,17804,Gym / Fitness,,,,Yarra
YARRAC11040,Hunts Fitness Centre,41,Johnston,Street,Fitzroy,3065.0,-37.79807,144.975969,17856,Gym / Fitness,,,,Yarra
YARRAC11001,Hunts Squash & Fitness Centre,41,Johnston,Street,Fitzroy,3065.0,-37.79807,144.975969,17800,Gym / Fitness,,,,Yarra
YARRAC10980,Hurl's Fitness,107,Queens,Parade,Clifton Hill,3068.0,-37.789497,144.989794,17772,Gym / Fitness,,,,Yarra
YARRAC11018,Lifestyle Fitness Centre,401,Church,Street,Richmond,3121.0,-37.809924,144.96706799999998,17825,Gym / Fitness,,,,Melbourne
YARRAC11024,Melbourne Aboriginal Sport and Recreation Gym,,Gertrude,Street,Fitzroy,3065.0,-37.805467,144.974449,17836,Gym / Fitness,,,,Yarra
YARRAC11041,Mind and Body,81,Johnston,Street,Fitzroy,3065.0,-37.79807,144.975969,17857,Gym / Fitness,,,,Yarra
